;;;;;;;;;;Ticket Médio por venda;R$ 999,41;;;;
1179;2024-02-07;2024;2;7;676;Cliente_676;Centro-Oeste;Varejo;Produto_89;Eletrônicos;1; R$ 486,52 ; R$ 486,52 ;Transferência;Cancelada
1180;2024-03-07;2024;3;7;166;Cliente_166;Sudeste;Varejo;Produto_27;Eletrônicos;9; R$ 967,97 ; R$ 8.711,73 ;Transferência;Cancelada
1181;2024-06-04;2024;6;4;462;Cliente_462;Nordeste;Varejo;Produto_15;Eletrônicos;6; R$ 874,40 ; R$ 5.246,40 ;Boleto;Cancelada
1182;2024-01-27;2024;1;27;777;Cliente_777;Sul;Corporativo;Produto_33;Equipamentos;1; R$ 1.113,94 ; R$ 1.113,94 ;Transferência;Cancelada
1183;2024-11-11;2024;11;11;283;Cliente_283;Sudeste;Online;Produto_50;Software;2; R$ 887,15 ; R$ 1.774,30 ;Transferência;Concluída
1184;2024-01-06;2024;1;6;488;Cliente_488;Nordeste;Corporativo;Produto_138;Acessórios;4; R$ 202,14 ; R$ 808,56 ;Cartão;Concluída
1185;2024-03-05;2024;3;5;512;Cliente_512;Sul;Atacado;Produto_73;Eletrônicos;1; R$ 171,69 ; R$ 171,69 ;Pix;Pendente
1186;2024-07-22;2024;7;22;501;Cliente_501;Sul;Varejo;Produto_20;Eletrônicos;5; R$ 276,84 ; R$ 1.384,20 ;Pix;Cancelada
1187;2024-07-01;2024;7;1;422;Cliente_422;Nordeste;Corporativo;Produto_78;Software;8; R$ 1.416,41 ; R$ 11.331,28 ;Pix;Cancelada
1188;2024-06-12;2024;6;12;501;Cliente_501;Centro-Oeste;Varejo;Produto_14;Software;9; R$ 1.788,10 ; R$ 16.092,90 ;Transferência;Cancelada
1189;2024-03-11;2024;3;11;996;Cliente_996;Centro-Oeste;Atacado;Produto_79;Acessórios;5; R$ 175,32 ; R$ 876,60 ;Boleto;Concluída
1190;2024-04-30;2024;4;30;763;Cliente_763;Sul;Corporativo;Produto_30;Eletrônicos;3; R$ 91,02 ; R$ 273,06 ;Transferência;Concluída
1191;2024-06-02;2024;6;2;554;Cliente_554;Norte;Varejo;Produto_72;Acessórios;5; R$ 1.184,72 ; R$ 5.923,60 ;Transferência;Pendente
1192;2024-01-23;2024;1;23;39;Cliente_39;Nordeste;Atacado;Produto_98;Serviços;7; R$ 781,63 ; R$ 5.471,41 ;Transferência;Cancelada
1193;2024-06-27;2024;6;27;108;Cliente_108;Norte;Online;Produto_68;Acessórios;5; R$ 81,99 ; R$ 409,95 ;Boleto;Concluída
1194;2024-08-06;2024;8;6;699;Cliente_699;Norte;Varejo;Produto_142;Equipamentos;10; R$ 879,47 ; R$ 8.794,70 ;Pix;Cancelada
1195;2024-10-17;2024;10;17;950;Cliente_950;Centro-Oeste;Online;Produto_42;Equipamentos;7; R$ 1.153,75 ; R$ 8.076,25 ;Transferência;Cancelada
1196;2024-05-23;2024;5;23;488;Cliente_488;Sudeste;Varejo;Produto_64;Acessórios;3; R$ 1.817,27 ; R$ 5.451,81 ;Pix;Pendente
1197;2024-05-20;2024;5;20;1170;Cliente_1170;Sudeste;Online;Produto_65;Acessórios;7; R$ 96,44 ; R$ 675,08 ;Cartão;Concluída
1198;2024-05-15;2024;5;15;629;Cliente_629;Nordeste;Corporativo;Produto_119;Eletrônicos;10; R$ 1.328,34 ; R$ 13.283,40 ;Transferência;Concluída
1199;2024-09-02;2024;9;2;956;Cliente_956;Centro-Oeste;Atacado;Produto_105;Eletrônicos;1; R$ 1.932,45 ; R$ 1.932,45 ;Cartão;Pendente
1200;2024-08-13;2024;8;13;1130;Cliente_1130;Nordeste;Online;Produto_71;Software;6; R$ 1.907,52 ; R$ 11.445,12 ;Transferência;Concluída
1201;2024-11-12;2024;11;12;466;Cliente_466;Norte;Atacado;Produto_30;Eletrônicos;3; R$ 310,87 ; R$ 932,61 ;Boleto;Cancelada
1202;2024-01-22;2024;1;22;1038;Cliente_1038;Centro-Oeste;Atacado;Produto_16;Software;8; R$ 1.168,18 ; R$ 9.345,44 ;Pix;Concluída
1203;2024-11-03;2024;11;3;724;Cliente_724;Nordeste;Online;Produto_28;Eletrônicos;9; R$ 1.442,27 ; R$ 12.980,43 ;Transferência;Concluída
1204;2024-06-15;2024;6;15;1047;Cliente_1047;Centro-Oeste;Online;Produto_107;Eletrônicos;2; R$ 489,22 ; R$ 978,44 ;Transferência;Pendente
1205;2024-07-03;2024;7;3;294;Cliente_294;Sudeste;Corporativo;Produto_96;Equipamentos;1; R$ 666,55 ; R$ 666,55 ;Pix;Cancelada
1206;2024-05-28;2024;5;28;64;Cliente_64;Nordeste;Varejo;Produto_28;Acessórios;3; R$ 749,24 ; R$ 2.247,72 ;Boleto;Pendente
1207;2024-12-30;2024;12;30;1047;Cliente_1047;Sudeste;Atacado;Produto_97;Acessórios;9; R$ 1.571,26 ; R$ 14.141,34 ;Cartão;Cancelada
1208;2024-11-28;2024;11;28;308;Cliente_308;Norte;Varejo;Produto_58;Acessórios;7; R$ 1.529,97 ; R$ 10.709,79 ;Transferência;Cancelada
1209;2024-11-06;2024;11;6;249;Cliente_249;Sul;Corporativo;Produto_82;Software;9; R$ 1.600,45 ; R$ 14.404,05 ;Boleto;Cancelada
1210;2024-07-04;2024;7;4;601;Cliente_601;Nordeste;Corporativo;Produto_81;Eletrônicos;4; R$ 670,80 ; R$ 2.683,20 ;Boleto;Pendente
1211;2024-10-13;2024;10;13;840;Cliente_840;Centro-Oeste;Varejo;Produto_93;Equipamentos;6; R$ 177,79 ; R$ 1.066,74 ;Boleto;Pendente
1212;2024-03-05;2024;3;5;858;Cliente_858;Centro-Oeste;Atacado;Produto_105;Acessórios;4; R$ 1.147,30 ; R$ 4.589,20 ;Boleto;Cancelada
1213;2024-03-01;2024;3;1;534;Cliente_534;Norte;Corporativo;Produto_108;Acessórios;5; R$ 696,31 ; R$ 3.481,55 ;Boleto;Cancelada
1214;2024-08-20;2024;8;20;1013;Cliente_1013;Norte;Atacado;Produto_31;Equipamentos;4; R$ 1.801,75 ; R$ 7.207,00 ;Pix;Cancelada
1215;2024-01-18;2024;1;18;963;Cliente_963;Sul;Varejo;Produto_43;Eletrônicos;2; R$ 270,27 ; R$ 540,54 ;Boleto;Cancelada
1216;2024-06-30;2024;6;30;1085;Cliente_1085;Nordeste;Corporativo;Produto_143;Serviços;7; R$ 1.810,44 ; R$ 12.673,08 ;Pix;Concluída
1217;2024-11-11;2024;11;11;690;Cliente_690;Norte;Varejo;Produto_19;Software;6; R$ 1.191,13 ; R$ 7.146,78 ;Transferência;Pendente
1218;2024-09-01;2024;9;1;922;Cliente_922;Nordeste;Atacado;Produto_131;Eletrônicos;7; R$ 592,80 ; R$ 4.149,60 ;Boleto;Concluída
1219;2024-08-12;2024;8;12;758;Cliente_758;Nordeste;Online;Produto_25;Serviços;8; R$ 771,16 ; R$ 6.169,28 ;Pix;Pendente
1220;2024-09-25;2024;9;25;699;Cliente_699;Centro-Oeste;Corporativo;Produto_74;Software;1; R$ 1.136,98 ; R$ 1.136,98 ;Transferência;Pendente
1221;2024-04-17;2024;4;17;366;Cliente_366;Sul;Online;Produto_148;Acessórios;3; R$ 103,03 ; R$ 309,09 ;Pix;Concluída
1222;2024-05-27;2024;5;27;712;Cliente_712;Sudeste;Corporativo;Produto_113;Serviços;5; R$ 347,87 ; R$ 1.739,35 ;Boleto;Pendente
1223;2024-04-28;2024;4;28;532;Cliente_532;Sudeste;Atacado;Produto_25;Serviços;10; R$ 1.511,87 ; R$ 15.118,70 ;Boleto;Concluída
1224;2024-04-09;2024;4;9;82;Cliente_82;Norte;Corporativo;Produto_7;Software;9; R$ 1.085,07 ; R$ 9.765,63 ;Boleto;Pendente
1225;2024-09-23;2024;9;23;1170;Cliente_1170;Nordeste;Corporativo;Produto_76;Eletrônicos;7; R$ 1.469,54 ; R$ 10.286,78 ;Cartão;Pendente
1226;2024-03-11;2024;3;11;886;Cliente_886;Sudeste;Varejo;Produto_91;Eletrônicos;8; R$ 540,85 ; R$ 4.326,80 ;Boleto;Cancelada
1227;2024-06-20;2024;6;20;153;Cliente_153;Sudeste;Corporativo;Produto_132;Eletrônicos;6; R$ 330,32 ; R$ 1.981,92 ;Pix;Concluída
1228;2024-09-23;2024;9;23;888;Cliente_888;Sudeste;Atacado;Produto_143;Eletrônicos;2; R$ 1.866,09 ; R$ 3.732,18 ;Cartão;Concluída
1229;2024-04-22;2024;4;22;281;Cliente_281;Nordeste;Online;Produto_121;Serviços;10; R$ 764,89 ; R$ 7.648,90 ;Transferência;Concluída
1230;2024-11-21;2024;11;21;1018;Cliente_1018;Norte;Atacado;Produto_1;Equipamentos;5; R$ 280,95 ; R$ 1.404,75 ;Cartão;Pendente
1231;2024-04-01;2024;4;1;1143;Cliente_1143;Norte;Corporativo;Produto_68;Acessórios;10; R$ 432,92 ; R$ 4.329,20 ;Transferência;Cancelada
1232;2024-09-04;2024;9;4;1196;Cliente_1196;Centro-Oeste;Atacado;Produto_77;Serviços;4; R$ 1.282,67 ; R$ 5.130,68 ;Pix;Cancelada
1233;2024-07-19;2024;7;19;994;Cliente_994;Centro-Oeste;Online;Produto_140;Equipamentos;8; R$ 1.597,56 ; R$ 12.780,48 ;Pix;Concluída
1234;2024-05-27;2024;5;27;449;Cliente_449;Sul;Corporativo;Produto_84;Serviços;2; R$ 1.926,58 ; R$ 3.853,16 ;Transferência;Concluída
1235;2024-12-04;2024;12;4;361;Cliente_361;Norte;Online;Produto_102;Serviços;8; R$ 1.913,50 ; R$ 15.308,00 ;Transferência;Pendente
1236;2024-05-17;2024;5;17;844;Cliente_844;Centro-Oeste;Atacado;Produto_105;Eletrônicos;4; R$ 77,35 ; R$ 309,40 ;Pix;Pendente
1237;2024-08-14;2024;8;14;651;Cliente_651;Sul;Corporativo;Produto_67;Eletrônicos;7; R$ 794,93 ; R$ 5.564,51 ;Pix;Pendente
1238;2024-01-24;2024;1;24;449;Cliente_449;Sudeste;Corporativo;Produto_105;Serviços;6; R$ 1.279,81 ; R$ 7.678,86 ;Boleto;Cancelada
1239;2024-11-10;2024;11;10;423;Cliente_423;Centro-Oeste;Online;Produto_34;Acessórios;2; R$ 1.896,80 ; R$ 3.793,60 ;Cartão;Cancelada
1240;2024-12-26;2024;12;26;44;Cliente_44;Sudeste;Online;Produto_142;Eletrônicos;7; R$ 198,70 ; R$ 1.390,90 ;Cartão;Cancelada
1241;2024-03-21;2024;3;21;432;Cliente_432;Centro-Oeste;Corporativo;Produto_59;Software;6; R$ 1.080,24 ; R$ 6.481,44 ;Boleto;Pendente
1242;2024-05-07;2024;5;7;679;Cliente_679;Norte;Varejo;Produto_6;Acessórios;7; R$ 446,92 ; R$ 3.128,44 ;Cartão;Cancelada
1243;2024-05-24;2024;5;24;815;Cliente_815;Sudeste;Varejo;Produto_59;Serviços;8; R$ 103,72 ; R$ 829,76 ;Cartão;Pendente
1244;2024-03-08;2024;3;8;254;Cliente_254;Sudeste;Varejo;Produto_20;Eletrônicos;7; R$ 1.317,45 ; R$ 9.222,15 ;Transferência;Concluída
1245;2024-03-18;2024;3;18;31;Cliente_31;Norte;Corporativo;Produto_50;Acessórios;9; R$ 1.217,65 ; R$ 10.958,85 ;Pix;Pendente
1246;2024-06-03;2024;6;3;871;Cliente_871;Sudeste;Corporativo;Produto_52;Eletrônicos;9; R$ 1.492,10 ; R$ 13.428,90 ;Pix;Cancelada
1247;2024-08-07;2024;8;7;1181;Cliente_1181;Norte;Atacado;Produto_105;Acessórios;8; R$ 765,63 ; R$ 6.125,04 ;Pix;Pendente
1248;2024-07-14;2024;7;14;583;Cliente_583;Norte;Corporativo;Produto_101;Software;9; R$ 1.023,06 ; R$ 9.207,54 ;Cartão;Pendente
1249;2024-07-22;2024;7;22;459;Cliente_459;Nordeste;Corporativo;Produto_95;Equipamentos;10; R$ 1.950,88 ; R$ 19.508,80 ;Cartão;Cancelada
1250;2024-11-18;2024;11;18;637;Cliente_637;Norte;Varejo;Produto_144;Serviços;6; R$ 304,67 ; R$ 1.828,02 ;Boleto;Pendente
1251;2024-11-11;2024;11;11;512;Cliente_512;Sul;Atacado;Produto_16;Equipamentos;2; R$ 299,83 ; R$ 599,66 ;Pix;Pendente
1252;2024-01-19;2024;1;19;638;Cliente_638;Sudeste;Corporativo;Produto_2;Software;6; R$ 1.671,96 ; R$ 10.031,76 ;Boleto;Cancelada
1253;2024-11-29;2024;11;29;1001;Cliente_1001;Nordeste;Online;Produto_119;Equipamentos;9; R$ 1.009,63 ; R$ 9.086,67 ;Cartão;Concluída
1254;2024-01-07;2024;1;7;872;Cliente_872;Nordeste;Varejo;Produto_43;Serviços;2; R$ 763,86 ; R$ 1.527,72 ;Transferência;Concluída
1255;2024-11-16;2024;11;16;80;Cliente_80;Centro-Oeste;Corporativo;Produto_36;Acessórios;7; R$ 1.000,47 ; R$ 7.003,29 ;Transferência;Pendente
1256;2024-05-30;2024;5;30;19;Cliente_19;Sudeste;Online;Produto_96;Acessórios;5; R$ 252,81 ; R$ 1.264,05 ;Boleto;Concluída
1257;2024-11-10;2024;11;10;595;Cliente_595;Sudeste;Online;Produto_121;Equipamentos;9; R$ 1.376,35 ; R$ 12.387,15 ;Boleto;Pendente
1258;2024-08-30;2024;8;30;278;Cliente_278;Norte;Online;Produto_107;Serviços;3; R$ 1.058,27 ; R$ 3.174,81 ;Boleto;Pendente
1259;2024-04-06;2024;4;6;138;Cliente_138;Nordeste;Varejo;Produto_138;Equipamentos;1; R$ 637,44 ; R$ 637,44 ;Pix;Concluída
1260;2024-03-21;2024;3;21;126;Cliente_126;Norte;Online;Produto_144;Serviços;10; R$ 948,01 ; R$ 9.480,10 ;Pix;Cancelada
1261;2024-08-06;2024;8;6;29;Cliente_29;Centro-Oeste;Online;Produto_95;Acessórios;4; R$ 563,67 ; R$ 2.254,68 ;Transferência;Pendente
1262;2024-04-13;2024;4;13;1150;Cliente_1150;Norte;Atacado;Produto_27;Serviços;9; R$ 1.290,37 ; R$ 11.613,33 ;Pix;Concluída
1263;2024-09-24;2024;9;24;539;Cliente_539;Centro-Oeste;Corporativo;Produto_85;Acessórios;10; R$ 222,60 ; R$ 2.226,00 ;Pix;Cancelada
1264;2024-04-28;2024;4;28;970;Cliente_970;Nordeste;Varejo;Produto_38;Serviços;4; R$ 352,84 ; R$ 1.411,36 ;Boleto;Pendente
1265;2024-01-27;2024;1;27;1;Cliente_1;Nordeste;Corporativo;Produto_109;Equipamentos;6; R$ 174,02 ; R$ 1.044,12 ;Pix;Pendente
1266;2024-07-20;2024;7;20;1025;Cliente_1025;Sul;Corporativo;Produto_122;Software;2; R$ 496,73 ; R$ 993,46 ;Pix;Cancelada
1267;2024-11-05;2024;11;5;650;Cliente_650;Nordeste;Atacado;Produto_72;Serviços;9; R$ 174,84 ; R$ 1.573,56 ;Transferência;Cancelada
1268;2024-05-08;2024;5;8;905;Cliente_905;Norte;Corporativo;Produto_90;Serviços;8; R$ 1.396,30 ; R$ 11.170,40 ;Cartão;Pendente
1269;2024-04-19;2024;4;19;955;Cliente_955;Centro-Oeste;Atacado;Produto_98;Software;6; R$ 1.462,41 ; R$ 8.774,46 ;Boleto;Cancelada
1270;2024-09-26;2024;9;26;22;Cliente_22;Nordeste;Varejo;Produto_80;Software;4; R$ 895,32 ; R$ 3.581,28 ;Cartão;Pendente
1271;2024-11-06;2024;11;6;520;Cliente_520;Sudeste;Varejo;Produto_71;Equipamentos;9; R$ 1.844,70 ; R$ 16.602,30 ;Transferência;Concluída
1272;2024-10-19;2024;10;19;519;Cliente_519;Norte;Corporativo;Produto_117;Equipamentos;5; R$ 1.258,04 ; R$ 6.290,20 ;Boleto;Pendente
1273;2024-01-15;2024;1;15;1118;Cliente_1118;Centro-Oeste;Atacado;Produto_46;Serviços;2; R$ 95,62 ; R$ 191,24 ;Cartão;Pendente
1274;2024-12-29;2024;12;29;245;Cliente_245;Norte;Online;Produto_25;Acessórios;1; R$ 897,89 ; R$ 897,89 ;Pix;Concluída
1275;2024-06-11;2024;6;11;35;Cliente_35;Nordeste;Online;Produto_133;Eletrônicos;6; R$ 1.677,80 ; R$ 10.066,80 ;Transferência;Pendente
1276;2024-09-13;2024;9;13;126;Cliente_126;Nordeste;Online;Produto_22;Serviços;2; R$ 402,02 ; R$ 804,04 ;Transferência;Concluída
1277;2024-09-15;2024;9;15;565;Cliente_565;Sul;Atacado;Produto_1;Software;10; R$ 413,39 ; R$ 4.133,90 ;Pix;Cancelada
1278;2024-10-17;2024;10;17;719;Cliente_719;Norte;Corporativo;Produto_23;Eletrônicos;2; R$ 696,08 ; R$ 1.392,16 ;Cartão;Concluída
1279;2024-11-16;2024;11;16;177;Cliente_177;Norte;Atacado;Produto_3;Serviços;3; R$ 648,65 ; R$ 1.945,95 ;Pix;Pendente
1280;2024-12-14;2024;12;14;167;Cliente_167;Nordeste;Atacado;Produto_80;Eletrônicos;4; R$ 629,41 ; R$ 2.517,64 ;Transferência;Cancelada
1281;2024-10-16;2024;10;16;588;Cliente_588;Sudeste;Corporativo;Produto_58;Serviços;3; R$ 572,35 ; R$ 1.717,05 ;Pix;Concluída
1282;2024-08-13;2024;8;13;363;Cliente_363;Sudeste;Varejo;Produto_126;Software;5; R$ 533,52 ; R$ 2.667,60 ;Pix;Pendente
1283;2024-12-17;2024;12;17;1072;Cliente_1072;Nordeste;Varejo;Produto_150;Equipamentos;8; R$ 1.662,41 ; R$ 13.299,28 ;Boleto;Cancelada
1284;2024-08-10;2024;8;10;1165;Cliente_1165;Sudeste;Online;Produto_54;Software;4; R$ 1.987,64 ; R$ 7.950,56 ;Pix;Concluída
1285;2024-08-27;2024;8;27;1052;Cliente_1052;Sudeste;Varejo;Produto_30;Acessórios;4; R$ 531,26 ; R$ 2.125,04 ;Boleto;Pendente
1286;2024-07-09;2024;7;9;287;Cliente_287;Centro-Oeste;Corporativo;Produto_9;Software;8; R$ 1.181,91 ; R$ 9.455,28 ;Cartão;Cancelada
1287;2024-08-31;2024;8;31;735;Cliente_735;Sudeste;Online;Produto_26;Serviços;1; R$ 334,33 ; R$ 334,33 ;Pix;Pendente
1288;2024-01-12;2024;1;12;334;Cliente_334;Sul;Corporativo;Produto_148;Equipamentos;8; R$ 1.102,62 ; R$ 8.820,96 ;Transferência;Pendente
1289;2024-11-03;2024;11;3;499;Cliente_499;Sudeste;Corporativo;Produto_103;Software;5; R$ 1.452,28 ; R$ 7.261,40 ;Cartão;Concluída
1290;2024-05-17;2024;5;17;1039;Cliente_1039;Centro-Oeste;Corporativo;Produto_8;Serviços;2; R$ 853,55 ; R$ 1.707,10 ;Boleto;Pendente
1291;2024-10-17;2024;10;17;1074;Cliente_1074;Nordeste;Atacado;Produto_86;Eletrônicos;4; R$ 1.903,96 ; R$ 7.615,84 ;Cartão;Pendente
1292;2024-03-25;2024;3;25;290;Cliente_290;Sul;Varejo;Produto_38;Serviços;6; R$ 928,25 ; R$ 5.569,50 ;Boleto;Pendente
1293;2024-04-14;2024;4;14;630;Cliente_630;Sul;Varejo;Produto_63;Serviços;2; R$ 385,50 ; R$ 771,00 ;Pix;Concluída
1294;2024-08-29;2024;8;29;978;Cliente_978;Centro-Oeste;Corporativo;Produto_55;Equipamentos;3; R$ 702,53 ; R$ 2.107,59 ;Transferência;Pendente
1295;2024-06-11;2024;6;11;498;Cliente_498;Nordeste;Corporativo;Produto_84;Software;2; R$ 787,40 ; R$ 1.574,80 ;Transferência;Cancelada
1296;2024-09-07;2024;9;7;807;Cliente_807;Centro-Oeste;Varejo;Produto_57;Acessórios;9; R$ 161,88 ; R$ 1.456,92 ;Boleto;Concluída
1297;2024-01-01;2024;1;1;756;Cliente_756;Centro-Oeste;Corporativo;Produto_20;Serviços;6; R$ 692,90 ; R$ 4.157,40 ;Boleto;Pendente
1298;2024-08-10;2024;8;10;385;Cliente_385;Norte;Online;Produto_99;Serviços;1; R$ 438,24 ; R$ 438,24 ;Transferência;Concluída
1299;2024-09-03;2024;9;3;584;Cliente_584;Norte;Online;Produto_108;Serviços;5; R$ 785,89 ; R$ 3.929,45 ;Boleto;Pendente
1300;2024-02-12;2024;2;12;1060;Cliente_1060;Sudeste;Varejo;Produto_104;Eletrônicos;2; R$ 940,55 ; R$ 1.881,10 ;Boleto;Pendente
1301;2024-12-17;2024;12;17;264;Cliente_264;Sul;Varejo;Produto_125;Equipamentos;10; R$ 1.023,80 ; R$ 10.238,00 ;Transferência;Concluída
1302;2024-11-20;2024;11;20;621;Cliente_621;Norte;Corporativo;Produto_129;Software;7; R$ 532,13 ; R$ 3.724,91 ;Transferência;Cancelada
1303;2024-02-27;2024;2;27;687;Cliente_687;Nordeste;Corporativo;Produto_137;Equipamentos;9; R$ 1.944,11 ; R$ 17.496,99 ;Cartão;Concluída
1304;2024-12-28;2024;12;28;15;Cliente_15;Centro-Oeste;Online;Produto_51;Acessórios;6; R$ 1.897,44 ; R$ 11.384,64 ;Transferência;Pendente
1305;2024-03-03;2024;3;3;100;Cliente_100;Sul;Corporativo;Produto_94;Eletrônicos;8; R$ 577,79 ; R$ 4.622,32 ;Pix;Pendente
1306;2024-01-13;2024;1;13;872;Cliente_872;Centro-Oeste;Online;Produto_46;Software;6; R$ 1.356,49 ; R$ 8.138,94 ;Pix;Pendente
1307;2024-11-21;2024;11;21;36;Cliente_36;Norte;Varejo;Produto_92;Eletrônicos;8; R$ 662,77 ; R$ 5.302,16 ;Transferência;Concluída
1308;2024-03-05;2024;3;5;359;Cliente_359;Nordeste;Corporativo;Produto_111;Software;2; R$ 1.079,27 ; R$ 2.158,54 ;Pix;Pendente
1309;2024-01-21;2024;1;21;500;Cliente_500;Norte;Online;Produto_96;Eletrônicos;9; R$ 1.146,76 ; R$ 10.320,84 ;Boleto;Cancelada
1310;2024-02-10;2024;2;10;208;Cliente_208;Sudeste;Online;Produto_109;Equipamentos;7; R$ 1.035,01 ; R$ 7.245,07 ;Cartão;Concluída
1311;2024-08-09;2024;8;9;527;Cliente_527;Norte;Atacado;Produto_147;Software;2; R$ 1.676,97 ; R$ 3.353,94 ;Pix;Cancelada
1312;2024-05-04;2024;5;4;1053;Cliente_1053;Norte;Online;Produto_147;Equipamentos;9; R$ 1.711,40 ; R$ 15.402,60 ;Boleto;Pendente
1313;2024-12-09;2024;12;9;563;Cliente_563;Norte;Corporativo;Produto_47;Software;3; R$ 568,17 ; R$ 1.704,51 ;Pix;Concluída
1314;2024-07-31;2024;7;31;834;Cliente_834;Nordeste;Online;Produto_69;Equipamentos;4; R$ 57,06 ; R$ 228,24 ;Pix;Concluída
1315;2024-06-15;2024;6;15;454;Cliente_454;Nordeste;Varejo;Produto_74;Acessórios;4; R$ 55,78 ; R$ 223,12 ;Transferência;Cancelada
1316;2024-07-18;2024;7;18;862;Cliente_862;Sul;Varejo;Produto_88;Software;10; R$ 670,93 ; R$ 6.709,30 ;Pix;Pendente
1317;2024-09-12;2024;9;12;911;Cliente_911;Nordeste;Atacado;Produto_100;Software;3; R$ 934,66 ; R$ 2.803,98 ;Transferência;Concluída
1318;2024-10-14;2024;10;14;1171;Cliente_1171;Sudeste;Varejo;Produto_54;Acessórios;2; R$ 1.270,14 ; R$ 2.540,28 ;Pix;Pendente
1319;2024-08-27;2024;8;27;598;Cliente_598;Norte;Atacado;Produto_150;Serviços;6; R$ 913,97 ; R$ 5.483,82 ;Pix;Cancelada
1320;2024-01-12;2024;1;12;884;Cliente_884;Sudeste;Corporativo;Produto_61;Equipamentos;7; R$ 1.991,74 ; R$ 13.942,18 ;Boleto;Pendente
1321;2024-04-18;2024;4;18;253;Cliente_253;Norte;Online;Produto_46;Serviços;2; R$ 803,58 ; R$ 1.607,16 ;Transferência;Cancelada
1322;2024-08-02;2024;8;2;837;Cliente_837;Centro-Oeste;Online;Produto_82;Software;6; R$ 1.507,54 ; R$ 9.045,24 ;Cartão;Cancelada
1323;2024-07-19;2024;7;19;651;Cliente_651;Nordeste;Corporativo;Produto_127;Equipamentos;9; R$ 1.080,54 ; R$ 9.724,86 ;Pix;Pendente
1324;2024-01-02;2024;1;2;322;Cliente_322;Centro-Oeste;Online;Produto_119;Serviços;3; R$ 812,11 ; R$ 2.436,33 ;Cartão;Pendente
1325;2024-07-29;2024;7;29;1189;Cliente_1189;Nordeste;Varejo;Produto_58;Serviços;7; R$ 1.949,01 ; R$ 13.643,07 ;Cartão;Cancelada
1326;2024-06-15;2024;6;15;1169;Cliente_1169;Centro-Oeste;Atacado;Produto_43;Acessórios;7; R$ 1.892,07 ; R$ 13.244,49 ;Transferência;Cancelada
1327;2024-11-03;2024;11;3;187;Cliente_187;Sul;Atacado;Produto_42;Equipamentos;6; R$ 64,98 ; R$ 389,88 ;Pix;Cancelada
1328;2024-12-30;2024;12;30;491;Cliente_491;Nordeste;Online;Produto_34;Software;3; R$ 954,89 ; R$ 2.864,67 ;Cartão;Concluída
1329;2024-05-05;2024;5;5;424;Cliente_424;Centro-Oeste;Corporativo;Produto_62;Serviços;10; R$ 933,14 ; R$ 9.331,40 ;Transferência;Cancelada
1330;2024-03-22;2024;3;22;228;Cliente_228;Nordeste;Corporativo;Produto_18;Eletrônicos;10; R$ 1.678,99 ; R$ 16.789,90 ;Cartão;Cancelada
1331;2024-07-16;2024;7;16;833;Cliente_833;Norte;Corporativo;Produto_67;Acessórios;9; R$ 1.991,16 ; R$ 17.920,44 ;Cartão;Cancelada
1332;2024-01-31;2024;1;31;1094;Cliente_1094;Sudeste;Corporativo;Produto_11;Software;1; R$ 888,27 ; R$ 888,27 ;Transferência;Cancelada
1333;2024-03-04;2024;3;4;1048;Cliente_1048;Norte;Atacado;Produto_68;Acessórios;8; R$ 868,61 ; R$ 6.948,88 ;Cartão;Cancelada
1334;2024-06-22;2024;6;22;347;Cliente_347;Nordeste;Atacado;Produto_124;Serviços;6; R$ 837,53 ; R$ 5.025,18 ;Pix;Concluída
1335;2024-12-29;2024;12;29;676;Cliente_676;Sul;Atacado;Produto_67;Software;2; R$ 927,32 ; R$ 1.854,64 ;Pix;Cancelada
1336;2024-12-24;2024;12;24;911;Cliente_911;Sudeste;Online;Produto_10;Serviços;6; R$ 1.579,00 ; R$ 9.474,00 ;Boleto;Cancelada
1337;2024-07-08;2024;7;8;591;Cliente_591;Centro-Oeste;Online;Produto_75;Software;1; R$ 457,62 ; R$ 457,62 ;Boleto;Cancelada
1338;2024-12-10;2024;12;10;625;Cliente_625;Sudeste;Atacado;Produto_33;Serviços;8; R$ 1.431,90 ; R$ 11.455,20 ;Pix;Pendente
1339;2024-04-18;2024;4;18;527;Cliente_527;Centro-Oeste;Online;Produto_38;Acessórios;4; R$ 75,45 ; R$ 301,80 ;Cartão;Pendente
1340;2024-09-21;2024;9;21;746;Cliente_746;Sul;Corporativo;Produto_44;Software;9; R$ 1.496,01 ; R$ 13.464,09 ;Boleto;Cancelada
1341;2024-07-12;2024;7;12;1027;Cliente_1027;Sul;Atacado;Produto_135;Equipamentos;6; R$ 1.056,21 ; R$ 6.337,26 ;Boleto;Pendente
1342;2024-02-03;2024;2;3;778;Cliente_778;Sudeste;Atacado;Produto_80;Serviços;1; R$ 1.344,11 ; R$ 1.344,11 ;Boleto;Concluída
1343;2024-03-02;2024;3;2;570;Cliente_570;Nordeste;Online;Produto_128;Equipamentos;10; R$ 1.560,47 ; R$ 15.604,70 ;Cartão;Cancelada
1344;2024-07-05;2024;7;5;1074;Cliente_1074;Norte;Corporativo;Produto_26;Software;4; R$ 1.487,93 ; R$ 5.951,72 ;Cartão;Pendente
1345;2024-10-02;2024;10;2;1134;Cliente_1134;Norte;Varejo;Produto_115;Acessórios;9; R$ 1.696,28 ; R$ 15.266,52 ;Boleto;Concluída
